변수명,변수설명,variable_description_en,보기설명,option_description_en,비고,note_en
IDX,survey version ID,Survey version ID,,,,
Quality_Check,"품질확인(1=정상,0=불량)","Quality check (1=valid, 0=invalid)","(0)불량
(1)정상","(0)Invalid
(1)Valid",,
block_ID,block ID,Block ID,"(1)Block01
(2)Block02
(3)Block03
(4)Block04
(5)Block05
(6)Block06
(7)Block07
(8)Block08
(9)Block09
(10)Block10
(11)Block11
(12)Block12","(1)Block01
(2)Block02
(3)Block03
(4)Block04
(5)Block05
(6)Block06
(7)Block07
(8)Block08
(9)Block09
(10)Block10
(11)Block11
(12)Block12",,
BR,BASIC/RISK,BASIC/RISK,"(1)BASIC
(2)RISK","(1)BASIC
(2)RISK",,
Ran,설문유형,Survey version type,"(1)Block01_BASIC
(2)Block01_RISK
(3)Block02_BASIC
(4)Block02_RISK
(5)Block03_BASIC
(6)Block03_RISK
(7)Block04_BASIC
(8)Block04_RISK
(9)Block05_BASIC
(10)Block05_RISK
(11)Block06_BASIC
(12)Block06_RISK
(13)Block07_BASIC
(14)Block07_RISK
(15)Block08_BASIC
(16)Block08_RISK
(17)Block09_BASIC
(18)Block09_RISK
(19)Block10_BASIC
(20)Block10_RISK
(21)Block11_BASIC
(22)Block11_RISK
(23)Block12_BASIC
(24)Block12_RISK","(1)Block01_BASIC
(2)Block01_RISK
(3)Block02_BASIC
(4)Block02_RISK
(5)Block03_BASIC
(6)Block03_RISK
(7)Block04_BASIC
(8)Block04_RISK
(9)Block05_BASIC
(10)Block05_RISK
(11)Block06_BASIC
(12)Block06_RISK
(13)Block07_BASIC
(14)Block07_RISK
(15)Block08_BASIC
(16)Block08_RISK
(17)Block09_BASIC
(18)Block09_RISK
(19)Block10_BASIC
(20)Block10_RISK
(21)Block11_BASIC
(22)Block11_RISK
(23)Block12_BASIC
(24)Block12_RISK",,
SQ1,SQ1.현재 거주하고 계신 지역을 선택해 주세요.-시도코드,SQ1. Please select your current residential area - province/metropolitan city code,"(1)서울
(2)부산
(3)대구
(4)인천
(5)광주
(6)대전
(7)울산
(8)세종
(9)경기
(10)강원
(11)충북
(12)충남
(13)전북
(14)전남
(15)경북
(16)경남
(17)제주","(1)Seoul
(2)Busan
(3)Daegu
(4)Incheon
(5)Gwangju
(6)Daejeon
(7)Ulsan
(8)Sejong
(9)Gyeonggi
(10)Gangwon
(11)Chungbuk
(12)Chungnam
(13)Jeonbuk
(14)Jeonnam
(15)Gyeongbuk
(16)Gyeongnam
(17)Jeju",,
SQ1_1,SQ1.현재 거주하고 계신 지역을 선택해 주세요.-시도,SQ1. Please select your current residential area - province/metropolitan city,,,,
SQ1_2,SQ1.현재 거주하고 계신 지역을 선택해 주세요.-시군구,SQ1. Please select your current residential area - city/county/district,,,,
SQ1_3,SQ1.현재 거주하고 계신 지역을 선택해 주세요.-읍면동,SQ1. Please select your current residential area - eup/myeon/dong neighborhood,,,,
SQ2,SQ2.성별은 무엇입니까?,SQ2. What is your gender?,"(1)남성
(2)여성","(1)Male
(2)Female",,
SQ3,SQ3.만 나이는 어떻게 되십니까?[단위:세],SQ3. What is your age in full years? [unit: years],,,,
SQ4,SQ4.최근 1개월 내 수도권(서울·경기·인천)에서 정기적인 출근·통학·업무 통행 혹은 정기적인 이동이나 외출을 한 경험이 있습니까?,"SQ4. In the last month, have you made regular commute/school/work trips or regular travel/outing in the Seoul Capital Area (Seoul, Gyeonggi, Incheon)?","(1)예
(2)아니오","(1)Yes
(2)No",,
SQ5,SQ5.평일 오전 시간대에 출근·통학·업무 이동 혹은 이동이나 외출을 정기적으로 하십니까?,SQ5. Do you regularly make commute/school/work trips or regular travel/outing during weekday morning hours?,"(1)주 4회 이상
(2)주 2-3회
(3)주 1회 이하
(4)해당 없음","(1)Four or more times per week
(2)Two to three times per week
(3)Once per week or less
(4)Not applicable",,
QQ1,문1.본인의 평소 평일 오전 통행은 주로 어떤 목적의 이동입니까?,Q1. What is the main purpose of your usual weekday morning trip?,"(1)출근
(2)통학
(3)기타","(1)Commute to work
(2)Commute to school
(3)Other",,
TQQ1_3,문1.본인의 평소 평일 오전 통행은 주로 어떤 목적의 이동입니까?-기타내용,Q1. Other text for main purpose of your usual weekday morning trip,,,,
QQ1A,문1-1.평소 출발 지역은 어디입니까?-시도코드,Q1-1. Where is your usual origin area? - province/metropolitan city code,"(1)서울
(4)인천
(9)경기","(1)Seoul
(4)Incheon
(9)Gyeonggi",,
QQ1A_1,문1-1.평소 출발 지역은 어디입니까?-시도,Q1-1. Where is your usual origin area? - province/metropolitan city,,,,
QQ1A_2,문1-1.평소 출발 지역은 어디입니까?-시군구,Q1-1. Where is your usual origin area? - city/county/district,,,,
QQ1A_3,문1-1.평소 출발 지역은 어디입니까?-읍면동,Q1-1. Where is your usual origin area? - eup/myeon/dong neighborhood,,,,
QQ1B,문1-2.평소 도착 지역은 어디입니까?-시도코드,Q1-2. Where is your usual destination area? - province/metropolitan city code,"(1)서울
(4)인천
(9)경기","(1)Seoul
(4)Incheon
(9)Gyeonggi",,
QQ1B_1,문1-2.평소 도착 지역은 어디입니까?-시도,Q1-2. Where is your usual destination area? - province/metropolitan city,,,,
QQ1B_2,문1-2.평소 도착 지역은 어디입니까?-시군구,Q1-2. Where is your usual destination area? - city/county/district,,,,
QQ1B_3,문1-2.평소 도착 지역은 어디입니까?-읍면동,Q1-2. Where is your usual destination area? - eup/myeon/dong neighborhood,,,,
QQ2_1,문2.그 통행에서 평소 출발 시각과 목적지 도착 시각은 언제입니까?-출발,Q2. What are your usual departure and arrival times for that trip? - departure,,,,
QQ2_2,문2.그 통행에서 평소 출발 시각과 목적지 도착 시각은 언제입니까?-도착,Q2. What are your usual departure and arrival times for that trip? - arrival,,,,
QQ3,문3.그 평일 오전 통행의 총 소요시간은 어느 정도입니까?,Q3. How long does that weekday morning one-way trip usually take in total?,"(1)15분 미만
(2)15-35분 미만
(3)35-70분 미만
(4)70분 이상","(1)Less than 15 minutes
(2)15 to less than 35 minutes
(3)35 to less than 70 minutes
(4)70 minutes or more",,
